source,evidence_item,status,evidence_class,source_file,value,claim_boundary,raw_excerpt
integrated_v14_with_slice10d,Food and essential categories rose faster than headline CPI.,LOCKED,,,,Does not prove collapse; supports selective price pressure.,Food and essential categories rose faster than headline CPI. | LOCKED | Does not prove collapse; supports selective price pressure. | integrated_v12_with_slice8c | Food and essential categories rose faster than headline CPI. | LOCKED | Does not prove collapse; supports selective price pressure. | integrated_v11_with_slice7e | Food and essential categories rose faster than headline CPI. | LOCKED | Does not prove collapse; supports selective price pressure. | integrated_v10_with_slice6b | Food and essential categories rose faster than headline CPI. | LOCKED | Does not prove collapse; supports selective price pressure. | integrated_v9_with_slice6a | Food and essential categories rose faster tha
integrated_v14_with_slice10d,Pressure concentrated in visible weekly Dominican staples.,LOCKED,,,,Item pressure is not whole-economy collapse.,Pressure concentrated in visible weekly Dominican staples. | LOCKED | Item pressure is not whole-economy collapse. | integrated_v12_with_slice8c | Pressure concentrated in visible weekly Dominican staples. | LOCKED | Item pressure is not whole-economy collapse. | integrated_v11_with_slice7e | Pressure concentrated in visible weekly Dominican staples. | LOCKED | Item pressure is not whole-economy collapse. | integrated_v10_with_slice6b | Pressure concentrated in visible weekly Dominican staples. | LOCKED | Item pressure is not whole-economy collapse. | integrated_v9_with_slice6a | Pressure concentrated in visible weekly Dominican staples. | LOCKED | Item pressure is not whole-economy collapse
integrated_v14_with_slice10d,"2025 income/wage gains helped, but did not erase distributional/food-basket pressure.",SUPPORTED,,,,Does not offset-test Jan-Apr 2026 food pressure.,"2025 income/wage gains helped, but did not erase distributional/food-basket pressure. | SUPPORTED | Does not offset-test Jan-Apr 2026 food pressure. | integrated_v12_with_slice8c | 2025 income/wage gains helped, but did not erase distributional/food-basket pressure. | SUPPORTED | Does not offset-test Jan-Apr 2026 food pressure. | integrated_v11_with_slice7e | 2025 income/wage gains helped, but did not erase distributional/food-basket pressure. | SUPPORTED | Does not offset-test Jan-Apr 2026 food pressure. | integrated_v10_with_slice6b | 2025 income/wage gains helped, but did not erase distributional/food-basket pressure. | SUPPORTED | Does not offset-test Jan-Apr 2026 food pressure. | integr"
integrated_v14_with_slice10d,Regional differences not extreme; lower-quintile pressure mildly higher.,LOCKED,,,,Not an extreme regional/quintile split.,Regional differences not extreme; lower-quintile pressure mildly higher. | LOCKED | Not an extreme regional/quintile split. | integrated_v12_with_slice8c | Regional differences not extreme; lower-quintile pressure mildly higher. | LOCKED | Not an extreme regional/quintile split. | integrated_v11_with_slice7e | Regional differences not extreme; lower-quintile pressure mildly higher. | LOCKED | Not an extreme regional/quintile split. | integrated_v10_with_slice6b | Regional differences not extreme; lower-quintile pressure mildly higher. | LOCKED | Not an extreme regional/quintile split. | integrated_v9_with_slice6a | Regional differences not extreme; lower-quintile pressure mildly higher. | LO
integrated_v14_with_slice10d,"No broad credit binge, but repayment stress is worsening in consumer/card debt.",LOCKED,,,,Does not prove broad default crisis.,"No broad credit binge, but repayment stress is worsening in consumer/card debt. | LOCKED | Does not prove broad default crisis. | integrated_v12_with_slice8c | No broad credit binge, but repayment stress is worsening in consumer/card debt. | LOCKED | Does not prove broad default crisis. | integrated_v11_with_slice7e | No broad credit binge, but repayment stress is worsening in consumer/card debt. | LOCKED | Does not prove broad default crisis. | integrated_v10_with_slice6b | No broad credit binge, but repayment stress is worsening in consumer/card debt. | LOCKED | Does not prove broad default crisis. | integrated_v9_with_slice6a | No broad credit binge, but repayment stress is worsening in c"
integrated_v14_with_slice10d,"Remittances are a cushion, but not a full shield against food inflation.",LOCKED,,,,Not a full household-protection story.,"Remittances are a cushion, but not a full shield against food inflation. | LOCKED | Not a full household-protection story. | integrated_v12_with_slice8c | Remittances are a cushion, but not a full shield against food inflation. | LOCKED | Not a full household-protection story. | integrated_v11_with_slice7e | Remittances are a cushion, but not a full shield against food inflation. | LOCKED | Not a full household-protection story. | integrated_v10_with_slice6b | Remittances are a cushion, but not a full shield against food inflation. | LOCKED | Not a full household-protection story. | integrated_v9_with_slice6a | Remittances are a cushion, but not a full shield against food inflation. | LOCKED"
integrated_v14_with_slice10d,"Fiscal cushioning exists, but is uneven.",LOCKED,,,,Public-sector transfers are not automatically waste.,"Fiscal cushioning exists, but is uneven. | LOCKED | Public-sector transfers are not automatically waste. | integrated_v12_with_slice8c | Fiscal cushioning exists, but is uneven. | LOCKED | Public-sector transfers are not automatically waste. | integrated_v11_with_slice7e | Fiscal cushioning exists, but is uneven. | LOCKED | Public-sector transfers are not automatically waste. | integrated_v10_with_slice6b | Fiscal cushioning exists, but is uneven. | LOCKED | Public-sector transfers are not automatically waste. | integrated_v9_with_slice6a | Fiscal cushioning exists, but is uneven. | LOCKED | Public-sector transfers are not automatically waste. | v6_with_slice4b | pre_slice5a | LOCKED | Publi"
integrated_v14_with_slice10d,Labor market cushioning strengthened from Q1 2024 to Q1 2025; Q1 2026 job creation remained positive but weaker.,LOCKED,,,,Q1 2026 wage/formality detail not available.,Labor market cushioning strengthened from Q1 2024 to Q1 2025; Q1 2026 job creation remained positive but weaker. | LOCKED | Q1 2026 wage/formality detail not available. | integrated_v12_with_slice8c | Labor market cushioning strengthened from Q1 2024 to Q1 2025; Q1 2026 job creation remained positive but weaker. | LOCKED | Q1 2026 wage/formality detail not available. | integrated_v11_with_slice7e | Labor market cushioning strengthened from Q1 2024 to Q1 2025; Q1 2026 job creation remained positive but weaker. | LOCKED | Q1 2026 wage/formality detail not available. | integrated_v10_with_slice6b | Labor market cushioning strengthened from Q1 2024 to Q1 2025; Q1 2026 job creation remained posit
integrated_v14_with_slice10d,"Q1 2025 hourly labor-income growth exceeded same-period broad, quintile, and selected staple CPI proxies.",LOCKED,,,,Does not prove 2026 offset.,"Q1 2025 hourly labor-income growth exceeded same-period broad, quintile, and selected staple CPI proxies. | LOCKED | Does not prove 2026 offset. | integrated_v12_with_slice8c | Q1 2025 hourly labor-income growth exceeded same-period broad, quintile, and selected staple CPI proxies. | LOCKED | Does not prove 2026 offset. | integrated_v11_with_slice7e | Q1 2025 hourly labor-income growth exceeded same-period broad, quintile, and selected staple CPI proxies. | LOCKED | Does not prove 2026 offset. | integrated_v10_with_slice6b | Q1 2025 hourly labor-income growth exceeded same-period broad, quintile, and selected staple CPI proxies. | LOCKED | Does not prove 2026 offset. | integrated_v9_with_sli"
integrated_v14_with_slice10d,No official 2026 wage/income detail was found.,LOCKED_NEGATIVE,,,,Do not claim wages failed to offset; the test is not available.,No official 2026 wage/income detail was found. | LOCKED_NEGATIVE | Do not claim wages failed to offset; the test is not available. | integrated_v12_with_slice8c | No official 2026 wage/income detail was found. | LOCKED_NEGATIVE | Do not claim wages failed to offset; the test is not available. | integrated_v11_with_slice7e | No official 2026 wage/income detail was found. | LOCKED_NEGATIVE | Do not claim wages failed to offset; the test is not available. | integrated_v10_with_slice6b | No official 2026 wage/income detail was found. | LOCKED_NEGATIVE | Do not claim wages failed to offset; the test is not available. | integrated_v9_with_slice6a | No official 2026 wage/income detail was found. | 
integrated_v14_with_slice10d,Broad ordinary-commerce collapse,NOT_PROVEN,,,,Positive sector growth does not mean comfort or margin relief.,Broad ordinary-commerce collapse | NOT_PROVEN | Positive sector growth does not mean comfort or margin relief. | integrated_v12_with_slice8c | Broad ordinary-commerce collapse | NOT_PROVEN | Positive sector growth does not mean comfort or margin relief. | integrated_v11_with_slice7e | Broad ordinary-commerce collapse | NOT_PROVEN | Positive sector growth does not mean comfort or margin relief. | integrated_v10_with_slice6b | Broad ordinary-commerce collapse | NOT_PROVEN | Positive sector growth does not mean comfort or margin relief. | integrated_v9_with_slice6a | Broad ordinary-commerce collapse | NOT_PROVEN | Positive sector growth does not mean comfort or margin relief. | v6_with_slice4b 
integrated_v14_with_slice10d,Ordinary commerce is fully comfortable,NOT_PROVEN,,,,Mixed proxy evidence; direct small-business margins/sales not parsed.,Ordinary commerce is fully comfortable | NOT_PROVEN | Mixed proxy evidence; direct small-business margins/sales not parsed. | integrated_v12_with_slice8c | Ordinary commerce is fully comfortable | NOT_PROVEN | Mixed proxy evidence; direct small-business margins/sales not parsed. | integrated_v11_with_slice7e | Ordinary commerce is fully comfortable | NOT_PROVEN | Mixed proxy evidence; direct small-business margins/sales not parsed. | integrated_v10_with_slice6b | Ordinary commerce is fully comfortable | NOT_PROVEN | Mixed proxy evidence; direct small-business margins/sales not parsed. | integrated_v9_with_slice6a | Ordinary commerce is fully comfortable | NOT_PROVEN | Mixed proxy evidence; d
integrated_v14_with_slice10d,Comercio slowdown,SUPPORTED,,,,"Sector-level deceleration, not direct small-business distress.","Comercio slowdown | SUPPORTED | Sector-level deceleration, not direct small-business distress. | integrated_v12_with_slice8c | Comercio slowdown | SUPPORTED | Sector-level deceleration, not direct small-business distress. | integrated_v11_with_slice7e | Comercio slowdown | SUPPORTED | Sector-level deceleration, not direct small-business distress. | integrated_v10_with_slice6b | Comercio slowdown | SUPPORTED | Sector-level deceleration, not direct small-business distress. | integrated_v9_with_slice6a | Comercio slowdown | SUPPORTED | Sector-level deceleration, not direct small-business distress. | v6_with_slice4b | pre_slice5a | SUPPORTED | Sector-level deceleration, not direct small-business"
integrated_v14_with_slice10d,ITBIS alone proves commerce strength,NOT_PROVEN,,,,ITBIS can rise for reasons other than ordinary-commerce real volume.,ITBIS alone proves commerce strength | NOT_PROVEN | ITBIS can rise for reasons other than ordinary-commerce real volume. | integrated_v12_with_slice8c | ITBIS alone proves commerce strength | NOT_PROVEN | ITBIS can rise for reasons other than ordinary-commerce real volume. | integrated_v11_with_slice7e | ITBIS alone proves commerce strength | NOT_PROVEN | ITBIS can rise for reasons other than ordinary-commerce real volume. | integrated_v10_with_slice6b | ITBIS alone proves commerce strength | NOT_PROVEN | ITBIS can rise for reasons other than ordinary-commerce real volume. | integrated_v9_with_slice6a | ITBIS alone proves commerce strength | NOT_PROVEN | ITBIS can rise for reasons other than
integrated_v14_with_slice10d,Direct small-business pressure,NOT_PROVEN,,,,Use proxy/sector language only.,Direct small-business pressure | NOT_PROVEN | Use proxy/sector language only. | integrated_v12_with_slice8c | Direct small-business pressure | NOT_PROVEN | Use proxy/sector language only. | integrated_v11_with_slice7e | Direct small-business pressure | NOT_PROVEN | Use proxy/sector language only. | integrated_v10_with_slice6b | Direct small-business pressure | NOT_PROVEN | Use proxy/sector language only. | integrated_v9_with_slice6a | Direct small-business pressure | NOT_PROVEN | Use proxy/sector language only. | v6_with_slice4b | pre_slice5a | NOT_PROVEN | Use proxy/sector language only. | 4A | Ordinary commerce / small-business pressure | Direct small-business pressure | No direct small-bu
integrated_v14_with_slice10d,Selective squeeze compatibility,SUPPORTED,,,,Compatible with selective squeeze; not a standalone proof of household pressure.,Selective squeeze compatibility | SUPPORTED | Compatible with selective squeeze; not a standalone proof of household pressure. | integrated_v12_with_slice8c | Selective squeeze compatibility | SUPPORTED | Compatible with selective squeeze; not a standalone proof of household pressure. | integrated_v11_with_slice7e | Selective squeeze compatibility | SUPPORTED | Compatible with selective squeeze; not a standalone proof of household pressure. | integrated_v10_with_slice6b | Selective squeeze compatibility | SUPPORTED | Compatible with selective squeeze; not a standalone proof of household pressure. | integrated_v9_with_slice6a | Selective squeeze compatibility | SUPPORTED | Compatible with sel
integrated_v14_with_slice10d,MIPYME financing-cost pressure channel,SUPPORTED,,,,"Supports a cost-pressure channel, not direct margin distress.","MIPYME financing-cost pressure channel | SUPPORTED | Supports a cost-pressure channel, not direct margin distress. | integrated_v12_with_slice8c | MIPYME financing-cost pressure channel | SUPPORTED | Supports a cost-pressure channel, not direct margin distress. | integrated_v11_with_slice7e | MIPYME financing-cost pressure channel | SUPPORTED | Supports a cost-pressure channel, not direct margin distress. | integrated_v10_with_slice6b | MIPYME financing-cost pressure channel | SUPPORTED | Supports a cost-pressure channel, not direct margin distress. | integrated_v9_with_slice6a | MIPYME financing-cost pressure channel | SUPPORTED | Supports a cost-pressure channel, not direct margin distress"
