claim_id,claim,status,public_use,allowed_wording,forbidden_wording,boundary
C01,The Dominican economy is not collapsing.,SUPPORTED_AS_BOUNDARY,Allowed,The available evidence does not support a collapse narrative.,The economy is fully healthy; there is no serious pressure.,Rejects collapse only; does not prove comfort.
C02,The evidence does not support a comfort narrative.,SUPPORTED_AS_BOUNDARY,Allowed,Macro resilience does not prove household comfort.,Households are definitely worse off across the board.,Rejects comfort only; does not prove broad hardship for every group.
C03,The best current interpretation is a selective / uneven squeeze.,SUPPORTED_INTERIM_SYNTHESIS,Allowed,The evidence points to an uneven or selective squeeze rather than collapse or comfort.,The investigation proves universal household distress.,Interim synthesis; should remain tied to specific supported channels.
C04,Formal TSS wage-food offset exists.,SUPPORTED_FORMAL_CHANNEL_ONLY,Allowed with boundary,Formal contributors show a wage-food offset channel.,Dominican households broadly offset food pressure.,Formal TSS contributors only; cannot generalize to informal workers or all households.
C05,Formal-worker cushioning generalizes to all households.,REJECTED_BOUNDARY,Forbidden,Do not use.,Formal wage gains prove household-wide cushioning.,Rejected because formal data does not cover informal workers or all households.
C06,Current informal-worker income offset is proven.,NOT_PROVEN,Forbidden,Current informal-worker income offset remains unresolved.,Informal workers offset food pressure.,Requires current 2026 informal income/remuneration metric.
C07,Current household-wide income offset is proven.,NOT_PROVEN,Forbidden,Household-wide income offset remains unresolved.,Households broadly offset food pressure.,Requires current household-wide income/remuneration metric.
C08,Official 2026 labor context supports current employment/labor-market context.,SUPPORTED_CONTEXT_ONLY,Allowed with boundary,Official 2026 labor data provides current labor-market context.,2026 labor data proves income cushioning.,Does not lock current income/remuneration metric.
C09,Current labor context proves current income offset.,REJECTED_BOUNDARY,Forbidden,Do not use.,Employment context proves households had enough income to offset prices.,Rejected because labor/employment context is not equivalent to income/remuneration offset.
C10,Near-current 2025 FMCG behavior context is useful narrative context.,SUPPORTED_FOR_CONTEXT_ONLY,Allowed with boundary,Near-current 2025 FMCG evidence provides context about consumer pressure and behavior.,2025 FMCG evidence proves 2026 trade-down.,Context only; cannot prove current 2026 household trade-down.
C11,2025 FMCG context proves 2026 trade-down.,REJECTED_BOUNDARY,Forbidden,Do not use.,Households traded down in 2026 because 2025 FMCG data suggests behavior pressure.,Rejected because period alignment fails.
C12,Official 2025 BCRD informal-income pattern is useful near-current context.,SUPPORTED_FOR_NEAR_CURRENT_CONTEXT_ONLY,Allowed with boundary,2025 BCRD data shows the kind of informal-income metric needed for offset testing.,2025 income data proves 2026 informal-worker offset.,Near-current context only; stale for 2026 offset calculation.
C13,2025 income pattern calculates 2026 offset.,REJECTED_BOUNDARY,Forbidden,Do not use.,2025 informal income can be used to calculate 2026 offset.,Rejected because period alignment fails.
C14,Current direct household trade-down is proven.,NOT_PROVEN,Forbidden,Direct current household trade-down remains unproven.,Households traded down in 2026.,"Requires current direct behavior evidence: SKU, basket, brand switching, quantities, smaller units, skipped categories, or survey substitution data."
C15,Households did not trade down.,NOT_PROVEN,Forbidden,The opposite claim is also unproven.,Households did not trade down.,Absence in tested sources is not proof of absence globally.
C16,Price-only evidence proves trade-down.,REJECTED_BOUNDARY,Forbidden,Do not use.,Higher prices prove households switched brands or bought less.,Rejected because pressure does not equal behavior.
C17,"Fiscal, credit, business, or macro proxies prove trade-down.",REJECTED_BOUNDARY,Forbidden,Do not use.,Business stress or weak demand proves household trade-down.,Rejected because proxy pressure does not prove direct household behavior.
C18,Global absence of sources is proven.,REJECTED_BOUNDARY,Forbidden,No direct current trade-down evidence was locked in the tested sources.,No such evidence exists anywhere.,Tested-source absence cannot become global absence.
